,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:03:03.104715,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:03:11.631426,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:03:22.075692,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:03:26.904045,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:03:36.313383,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:03:42.480826,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:03:51.345277,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:03:53.348330,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:04:03.506166,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:04:10.340623,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:04:17.862085,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:04:23.131066,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:04:30.006583,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:04:35.937651,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:04:45.877737,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:04:48.694838,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:04:55.986541,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:05:01.448856,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:05:11.023820,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:05:19.622761,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:05:22.894691,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:05:33.366656,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:05:37.614414,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:05:46.043944,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:06:00.288010,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:06:06.421834,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:06:13.031641,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:06:19.511379,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:06:24.316322,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:06:30.776135,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:06:37.835945,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:06:42.816132,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:06:50.934708,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:07:00.818169,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:07:06.028878,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:07:12.360227,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:07:20.312328,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:07:27.192326,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:07:30.694638,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:07:38.276101,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:07:46.308449,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:07:54.853590,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:08:01.899259,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:08:07.324042,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:08:12.993335,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:08:21.398639,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:08:25.643902,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:08:32.117054,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:08:40.680871,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:08:46.712271,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:08:57.717361,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:09:04.721249,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:09:10.866671,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:09:15.296126,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:09:25.343089,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:09:31.424002,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:09:39.279090,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:09:46.258433,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:09:53.047163,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:10:02.814202,271.375
,ask,bid,time,med
RACE,271.66,271.09,2021-11-22 11:10:08.909755,271.375
,ask,bid,time,med
