time,open,high,low,close,time
2021-11-18 09:05:00,7159.5,7160.5,7156.5,7156.5,2021-11-18 09:05:00
2021-11-18 09:20:00,7165.0,7165.0,7164.5,7164.5,2021-11-18 09:20:00
2021-11-18 09:25:00,7164.0,7166.0,7163.5,7166.0,2021-11-18 09:25:00
2021-11-18 09:45:00,7168.5,7168.5,7164.0,7166.5,2021-11-18 09:45:00
2021-11-18 09:50:00,7167.0,7168.5,7166.0,7168.0,2021-11-18 09:50:00
2021-11-18 09:55:00,7168.0,7172.799999999999,7167.5,7171.200000000001,2021-11-18 09:55:00
2021-11-18 10:00:00,7171.700000000001,7176.0,7169.0,7173.700000000001,2021-11-18 10:00:00
2021-11-18 10:05:00,7174.700000000001,7178.5,7173.200000000001,7177.700000000001,2021-11-18 10:05:00
2021-11-18 10:10:00,7177.700000000001,7180.200000000001,7177.5,7178.0,2021-11-18 10:10:00
2021-11-18 10:15:00,7177.5,7179.0,7175.0,7175.0,2021-11-18 10:15:00
2021-11-18 10:20:00,7175.0,7177.5,7175.0,7176.0,2021-11-18 10:20:00
2021-11-18 11:20:00,7164.5,7164.5,7162.0,7162.0,2021-11-18 11:20:00
2021-11-18 11:25:00,7161.0,7163.0,7159.5,7163.0,2021-11-18 11:25:00
2021-11-18 11:30:00,7162.5,7162.5,7160.5,7161.0,2021-11-18 11:30:00
2021-11-18 11:35:00,7161.5,7162.5,7159.5,7162.0,2021-11-18 11:35:00
2021-11-18 11:40:00,7162.5,7162.5,7158.200000000001,7159.5,2021-11-18 11:40:00
2021-11-18 11:45:00,7159.0,7159.5,7157.0,7158.0,2021-11-18 11:45:00
2021-11-18 11:50:00,7158.0,7158.5,7156.5,7158.5,2021-11-18 11:50:00
2021-11-18 11:55:00,7158.5,7163.5,7157.5,7161.5,2021-11-18 11:55:00
2021-11-18 12:00:00,7161.0,7165.5,7160.5,7164.0,2021-11-18 12:00:00
2021-11-18 12:05:00,7164.0,7165.5,7163.0,7165.5,2021-11-18 12:05:00
2021-11-18 12:10:00,7166.0,7169.0,7165.0,7167.5,2021-11-18 12:10:00
2021-11-18 12:15:00,7169.0,7170.0,7167.5,7169.5,2021-11-18 12:15:00
2021-11-18 12:20:00,7170.5,7171.5,7167.0,7167.0,2021-11-18 12:20:00
2021-11-18 12:25:00,7167.0,7170.0,7167.0,7169.5,2021-11-18 12:25:00
2021-11-18 12:30:00,7168.5,7169.5,7168.0,7168.0,2021-11-18 12:30:00
2021-11-18 14:45:00,7161.5,7163.0,7159.0,7159.0,2021-11-18 14:45:00
2021-11-18 14:50:00,7159.0,7159.0,7157.5,7157.5,2021-11-18 14:50:00
2021-11-18 14:55:00,7158.0,7158.5,7157.0,7157.5,2021-11-18 14:55:00
2021-11-18 15:05:00,7157.5,7157.5,7155.0,7155.5,2021-11-18 15:05:00
2021-11-18 15:10:00,7155.5,7159.5,7155.5,7159.5,2021-11-18 15:10:00
2021-11-18 15:15:00,7159.5,7160.5,7159.0,7160.0,2021-11-18 15:15:00
2021-11-18 15:20:00,7159.0,7159.5,7154.0,7154.0,2021-11-18 15:20:00
2021-11-18 15:25:00,7154.0,7158.5,7153.0,7158.0,2021-11-18 15:25:00
2021-11-18 15:30:00,7157.0,7157.0,7153.700000000001,7153.700000000001,2021-11-18 15:30:00
2021-11-18 15:35:00,7153.200000000001,7153.299999999999,7149.0,7152.5,2021-11-18 15:35:00
2021-11-18 15:40:00,7152.0,7155.5,7150.5,7150.5,2021-11-18 15:40:00
2021-11-18 15:45:00,7150.0,7155.0,7149.5,7153.0,2021-11-18 15:45:00
2021-11-18 15:50:00,7153.0,7153.0,7147.0,7147.0,2021-11-18 15:50:00
2021-11-18 15:55:00,7147.5,7152.0,7146.5,7152.0,2021-11-18 15:55:00
2021-11-18 16:00:00,7151.5,7154.5,7151.0,7151.5,2021-11-18 16:00:00
2021-11-18 16:05:00,7151.0,7151.5,7145.0,7145.0,2021-11-18 16:05:00
2021-11-18 16:10:00,7144.0,7144.0,7138.799999999999,7142.0,2021-11-18 16:10:00
2021-11-18 16:15:00,7141.5,7142.5,7138.5,7138.5,2021-11-18 16:15:00
2021-11-18 16:20:00,7138.5,7140.299999999999,7135.200000000001,7140.0,2021-11-18 16:20:00
2021-11-18 16:25:00,7140.0,7143.5,7138.5,7141.5,2021-11-18 16:25:00
2021-11-18 16:30:00,7138.5,7141.0,7134.5,7139.5,2021-11-18 16:30:00
2021-11-18 16:35:00,7139.5,7140.0,7136.5,7136.5,2021-11-18 16:35:00
2021-11-18 16:40:00,7137.5,7141.0,7137.5,7138.0,2021-11-18 16:40:00
2021-11-18 16:45:00,7139.5,7141.0,7138.5,7140.0,2021-11-18 16:45:00
2021-11-18 21:35:00,7147.0,7147.0,7145.5,7146.5,2021-11-18 21:35:00
2021-11-18 21:40:00,7146.0,7147.0,7145.0,7146.5,2021-11-18 21:40:00
2021-11-18 21:45:00,7146.0,7148.5,7146.0,7148.0,2021-11-18 21:45:00
2021-11-18 21:50:00,7146.5,7149.0,7144.5,7146.0,2021-11-18 21:50:00
2021-11-18 21:55:00,7146.0,7151.5,7146.0,7150.25,2021-11-18 21:55:00
2021-11-18 22:00:00,7148.0,7151.5,7148.0,7151.0,2021-11-18 22:00:00
2021-11-19 06:40:00,7167.5,7168.5,7167.0,7167.0,2021-11-19 06:40:00
2021-11-19 06:45:00,7167.5,7168.0,7167.0,7167.0,2021-11-19 06:45:00
2021-11-19 06:50:00,7167.0,7168.0,7166.5,7166.5,2021-11-19 06:50:00
2021-11-19 06:55:00,7166.0,7166.5,7164.5,7164.5,2021-11-19 06:55:00
2021-11-19 07:00:00,7165.0,7166.0,7164.5,7165.5,2021-11-19 07:00:00
2021-11-19 07:05:00,7165.5,7166.0,7165.0,7165.5,2021-11-19 07:05:00
2021-11-19 07:10:00,7165.5,7168.0,7165.5,7168.0,2021-11-19 07:10:00
2021-11-19 07:15:00,7168.0,7168.0,7166.5,7167.0,2021-11-19 07:15:00
2021-11-19 07:20:00,7167.5,7168.5,7167.0,7168.0,2021-11-19 07:20:00
2021-11-19 07:25:00,7168.0,7173.49,7168.0,7171.5,2021-11-19 07:25:00
2021-11-19 07:30:00,7171.5,7174.75,7171.5,7172.5,2021-11-19 07:30:00
2021-11-19 07:35:00,7172.5,7174.25,7171.5,7174.25,2021-11-19 07:35:00
2021-11-19 07:40:00,7174.25,7174.75,7174.25,7174.25,2021-11-19 07:40:00
2021-11-19 07:45:00,7174.25,7174.25,7171.75,7171.75,2021-11-19 07:45:00
2021-11-19 07:50:00,7171.75,7171.75,7171.25,7171.75,2021-11-19 07:50:00
2021-11-19 07:55:00,7171.75,7172.25,7171.25,7171.25,2021-11-19 07:55:00
2021-11-19 08:00:00,7166.75,7169.5,7166.75,7169.0,2021-11-19 08:00:00
2021-11-19 08:05:00,7168.5,7173.5,7168.0,7171.5,2021-11-19 08:05:00
2021-11-19 08:10:00,7172.0,7172.5,7171.0,7171.700000000001,2021-11-19 08:10:00
2021-11-19 08:15:00,7170.200000000001,7173.0,7170.200000000001,7172.5,2021-11-19 08:15:00
2021-11-19 08:20:00,7172.0,7174.5,7172.0,7172.5,2021-11-19 08:20:00
2021-11-19 08:25:00,7173.0,7179.0,7172.5,7179.0,2021-11-19 08:25:00
2021-11-19 08:30:00,7178.5,7184.0,7177.5,7184.0,2021-11-19 08:30:00
2021-11-19 08:35:00,7183.5,7183.5,7180.5,7181.5,2021-11-19 08:35:00
2021-11-19 08:40:00,7181.5,7181.5,7180.0,7181.0,2021-11-19 08:40:00
2021-11-19 08:45:00,7180.5,7183.5,7180.5,7183.0,2021-11-19 08:45:00
2021-11-19 08:50:00,7182.5,7182.5,7178.5,7179.0,2021-11-19 08:50:00
2021-11-19 08:55:00,7178.5,7179.5,7170.299999999999,7170.299999999999,2021-11-19 08:55:00
2021-11-19 09:00:00,7171.799999999999,7177.200000000001,7170.299999999999,7176.700000000001,2021-11-19 09:00:00
2021-11-19 09:05:00,7173.5,7175.0,7168.0,7168.0,2021-11-19 09:05:00
2021-11-19 09:10:00,7169.0,7171.5,7164.0,7169.5,2021-11-19 09:10:00
2021-11-19 09:15:00,7170.0,7172.5,7168.0,7168.5,2021-11-19 09:15:00
2021-11-19 09:20:00,7169.0,7178.0,7169.0,7178.0,2021-11-19 09:20:00
2021-11-19 09:25:00,7177.5,7181.5,7176.0,7181.5,2021-11-19 09:25:00
2021-11-19 09:30:00,7181.5,7182.0,7173.5,7175.0,2021-11-19 09:30:00
2021-11-19 09:35:00,7175.0,7176.0,7172.0,7174.5,2021-11-19 09:35:00
2021-11-19 09:40:00,7175.0,7175.5,7172.0,7175.0,2021-11-19 09:40:00
2021-11-19 09:45:00,7173.0,7177.0,7172.0,7176.0,2021-11-19 09:45:00
2021-11-19 09:50:00,7172.0,7172.0,7171.0,7171.5,2021-11-19 09:50:00
2021-11-19 10:20:00,7175.5,7175.5,7174.5,7175.5,2021-11-19 10:20:00
2021-11-19 10:25:00,7175.5,7176.5,7166.5,7166.5,2021-11-19 10:25:00
2021-11-19 10:30:00,7148.299999999999,7148.299999999999,7146.5,7146.5,2021-11-19 10:30:00
2021-11-19 10:35:00,7146.299999999999,7146.299999999999,7146.299999999999,7146.299999999999,2021-11-19 10:35:00
2021-11-19 10:40:00,7132.5,7132.5,7118.5,7118.5,2021-11-19 10:40:00
2021-11-19 10:45:00,7133.5,7133.5,7133.5,7133.5,2021-11-19 10:45:00
2021-11-19 10:50:00,7135.5,7135.5,7135.5,7135.5,2021-11-19 10:50:00
2021-11-19 10:55:00,7125.0,7125.0,7119.5,7119.5,2021-11-19 10:55:00
2021-11-19 11:00:00,7119.0,7119.0,7119.0,7119.0,2021-11-19 11:00:00
2021-11-19 11:05:00,7115.0,7115.0,7103.0,7103.0,2021-11-19 11:05:00
2021-11-19 11:10:00,7097.0,7101.0,7097.0,7101.0,2021-11-19 11:10:00
2021-11-19 11:15:00,7114.0,7114.0,7112.5,7112.5,2021-11-19 11:15:00
2021-11-19 11:20:00,7121.5,7121.5,7121.5,7121.5,2021-11-19 11:20:00
2021-11-19 11:25:00,7120.0,7124.0,7120.0,7124.0,2021-11-19 11:25:00
2021-11-19 11:30:00,7121.0,7121.0,7121.0,7121.0,2021-11-19 11:30:00
2021-11-19 11:35:00,7113.5,7114.0,7113.5,7114.0,2021-11-19 11:35:00
2021-11-19 11:40:00,7124.0,7124.0,7124.0,7124.0,2021-11-19 11:40:00
2021-11-19 11:45:00,7122.5,7122.5,7122.5,7122.5,2021-11-19 11:45:00
2021-11-19 11:50:00,7134.5,7134.5,7134.5,7134.5,2021-11-19 11:50:00
2021-11-19 11:55:00,7133.200000000001,7133.200000000001,7133.200000000001,7133.200000000001,2021-11-19 11:55:00
