time,open,high,low,close,%_change,Relat_close,Relat_high,Relat_low,Relat_open,RSI_13,relat_RSI_13,Moving_Signal,Moving_Price,Relat_Moving_Signal,Relat_Moving_Price,Scale_price,S&R,Signal_SR,signal_buy,signal_sell,Change,aadi_pct_change,Tradable
2021-11-22 16:00:00,1.34201,1.3420450000000002,1.341295,1.341295,-0.0016523819979678,-0.0016523819979678,-0.001101579799408614,-0.0014479914237216507,-0.0010421241467607478,46.41981858502909,46.41981858502961,49.1029535278579,46.75120731163224,-0.0019255460489832176,-6.762112815993814e-05,1.341295,0.3412949999999999,0,False,False,-0.0005178876146618716,0,0
2021-11-22 16:03:00,1.34136,1.34136,1.34079,1.34079,-0.002028261686694788,-0.002028261686694788,-0.0016114326119727185,-0.0018239480658704954,-0.0015259675006138451,42.91893985166228,42.918939851662536,44.66937921834568,49.58203087878582,-0.001853347376099035,-8.790374502688602e-05,1.34079,0.3407899999999999,0,False,False,-0.00037650181354587087,0,0
2021-11-22 16:06:00,1.3408,1.34111,1.3406600000000002,1.34091,-0.0019389437408585675,-0.0019389437408585675,-0.0017975102807916699,-0.0019207289836512542,-0.0019428171593183219,44.006033199842825,44.00603319984327,43.46248652575255,49.63728541573921,-0.001770356118092975,-0.00010941448364908068,1.34091,0.34091000000000005,0,False,False,8.94994741906796e-05,0,0
2021-11-22 16:09:00,1.340835,1.34126,1.3407,1.34126,-0.0016784330655033042,-0.0016784330655033042,-0.00168586367950041,-0.0018909502397188582,-0.0019167640556492227,47.184275158099446,47.18427515810033,45.595154178971136,48.27969037260687,-0.0016267030885398826,-0.0001248962609273374,1.34126,0.3412599999999999,0,False,False,0.0002610167721919243,0,0
2021-11-22 16:12:00,1.34126,1.34126,1.34111,1.34124,-0.0016933193898093224,-0.0016933193898093224,-0.00168586367950041,-0.0015857181144098842,-0.0016004049396683984,47.019062338549084,47.01906233854922,47.101668748324265,47.11830079720931,-0.0014841665333097608,-0.00013844281604581178,1.34124,0.34124,0,False,False,-1.4911352012259016e-05,0,0
time,open,high,low,close,%_change,Relat_close,Relat_high,Relat_low,Relat_open,RSI_13,relat_RSI_13,Moving_Signal,Moving_Price,Relat_Moving_Signal,Relat_Moving_Price,Scale_price,S&R,Signal_SR,signal_buy,signal_sell,Change,aadi_pct_change,Tradable
2021-11-22 16:00:00,1.1257700000000002,1.12587,1.12513,1.12524,-0.002787169272899459,-0.002787169272899459,-0.002295163319922744,-0.0028095364707972914,-0.0023837796643209064,47.58186777281149,47.581867772809424,49.53534601683587,48.77629466166426,-0.003023347527661746,-0.0009247730163025336,1.12524,0.12524000000000002,1,False,False,-0.00038199472314259797,0,0
2021-11-22 16:03:00,1.12534,1.1253799999999998,1.1248399999999998,1.12485,-0.0031327959871859656,-0.0031327959871859656,-0.0027293834074758605,-0.0030665603119743867,-0.002764829945234859,44.28048255517471,44.28048255517216,45.9311751639931,50.70964066369389,-0.002937383960262363,-0.0009561009761743933,1.12485,0.1248499999999999,1,False,False,-0.0003465927268850866,0,0
2021-11-22 16:06:00,1.1248399999999998,1.1251950000000002,1.1247349999999998,1.12494,-0.003053035976196772,-0.003053035976196772,-0.002893323644612922,-0.003159620668262697,-0.0032079116672277808,45.23050413115818,45.23050413115461,44.75549334316644,49.95662381573955,-0.002838127057698092,-0.0009884480917422222,1.12494,0.12494000000000005,1,False,False,8.00106680891588e-05,0,0
2021-11-22 16:09:00,1.124915,1.124915,1.12442,1.12461,-0.003345489349823594,-0.003345489349823594,-0.00314144940892902,-0.003438801737127295,-0.003141449408928687,42.3615011442791,42.361501144276,43.796002637718644,47.442742714096426,-0.002780965716489214,-0.0010212383184822116,1.12461,0.12461000000000011,1,False,False,-0.00029334897861210685,0,0
2021-11-22 16:12:00,1.12463,1.12463,1.12446,1.124545,-0.0034030938022048263,-0.0034030938022048263,-0.003394005990465021,-0.003403350172827002,-0.003394005990464688,41.795791414687564,41.79579141468453,42.07864627948334,45.95846607536275,-0.002737097710445202,-0.0010546045897460133,1.124545,0.1245449999999999,1,False,False,-5.779781435355513e-05,0,0
time,open,high,low,close,%_change,Relat_close,Relat_high,Relat_low,Relat_open,RSI_13,relat_RSI_13,Moving_Signal,Moving_Price,Relat_Moving_Signal,Relat_Moving_Price,Scale_price,S&R,Signal_SR,signal_buy,signal_sell,Change,aadi_pct_change,Tradable
2021-11-22 16:00:00,1.42552,1.42558,1.424645,1.4248150000000002,-0.0007994642187163503,-0.0007994642187163503,-0.0003050458796017841,-0.000852117318670742,-0.00034712117333979275,47.127642269917104,47.12764226991955,50.17057366524125,55.0826767794387,-0.00045443229274413357,-0.00048339533856268767,1.4248150000000002,0.42481500000000016,0,False,False,-0.0004419672453163104,0,0
2021-11-22 16:03:00,1.4249200000000002,1.425205,1.42479,1.425205,-0.0005259633017870025,-0.0005259633017870025,-0.0005680164654652264,-0.0007504243053314541,-0.0007678741107211007,50.89399554592788,50.89399554593085,49.010818907922484,54.74761025379787,-0.0003934205497367782,-0.0004886549715805577,1.425205,0.42520500000000006,0,False,False,0.0002737197460722651,0,0
2021-11-22 16:06:00,1.425185,1.425375,1.425095,1.425365,-0.00041375779740582264,-0.00041375779740582264,-0.00044880313320727616,-0.0005365183117556072,-0.000582041563377933,52.40097696344197,52.400976963444094,51.64748625468492,53.28255397100545,-0.0003601095406235655,-0.0004935288981771191,1.425365,0.425365,0,False,False,0.00011226455141533087,0,0
