time,open,high,low,close,time
2021-11-18 09:06:00,1.350775,1.3509099999999998,1.35072,1.35072,2021-11-18 09:06:00
2021-11-18 09:24:00,1.349535,1.3500100000000002,1.349535,1.349715,2021-11-18 09:24:00
2021-11-18 09:27:00,1.34991,1.3499249999999998,1.3498999999999999,1.3499249999999998,2021-11-18 09:27:00
2021-11-18 09:45:00,1.349145,1.349305,1.348945,1.3491149999999998,2021-11-18 09:45:00
2021-11-18 09:48:00,1.349135,1.349735,1.34903,1.3492549999999999,2021-11-18 09:48:00
2021-11-18 09:51:00,1.34924,1.3494899999999999,1.3492199999999999,1.3493300000000001,2021-11-18 09:51:00
2021-11-18 09:54:00,1.34944,1.34954,1.349215,1.3493249999999999,2021-11-18 09:54:00
2021-11-18 09:57:00,1.34923,1.349805,1.349135,1.34971,2021-11-18 09:57:00
2021-11-18 10:00:00,1.34973,1.350325,1.34965,1.350015,2021-11-18 10:00:00
2021-11-18 10:03:00,1.350095,1.350195,1.3496000000000001,1.350025,2021-11-18 10:03:00
2021-11-18 10:06:00,1.3501949999999998,1.350425,1.3498,1.34992,2021-11-18 10:06:00
2021-11-18 10:09:00,1.34991,1.3501150000000002,1.349875,1.3499349999999999,2021-11-18 10:09:00
2021-11-18 10:12:00,1.34993,1.35032,1.349885,1.3503150000000002,2021-11-18 10:12:00
2021-11-18 10:15:00,1.35032,1.3504399999999999,1.3502100000000001,1.35038,2021-11-18 10:15:00
2021-11-18 10:18:00,1.35034,1.350625,1.350165,1.3506200000000002,2021-11-18 10:18:00
2021-11-18 10:21:00,1.350525,1.3506900000000002,1.35041,1.3506900000000002,2021-11-18 10:21:00
2021-11-18 11:21:00,1.3491900000000001,1.3493249999999999,1.3491900000000001,1.349285,2021-11-18 11:21:00
2021-11-18 11:24:00,1.3492600000000001,1.34932,1.3489900000000001,1.349205,2021-11-18 11:24:00
2021-11-18 11:27:00,1.34917,1.349425,1.3487149999999999,1.3487900000000002,2021-11-18 11:27:00
2021-11-18 11:30:00,1.3488,1.34958,1.3488,1.34946,2021-11-18 11:30:00
2021-11-18 11:33:00,1.34941,1.349785,1.3492950000000001,1.3497599999999998,2021-11-18 11:33:00
2021-11-18 11:36:00,1.34978,1.34978,1.349335,1.349605,2021-11-18 11:36:00
2021-11-18 11:39:00,1.34962,1.34971,1.34951,1.3496000000000001,2021-11-18 11:39:00
2021-11-18 11:42:00,1.3496000000000001,1.349735,1.34952,1.34952,2021-11-18 11:42:00
2021-11-18 11:45:00,1.3495,1.3495300000000001,1.34916,1.34951,2021-11-18 11:45:00
2021-11-18 11:48:00,1.3494199999999998,1.34951,1.3490449999999998,1.3492950000000001,2021-11-18 11:48:00
2021-11-18 11:51:00,1.3492950000000001,1.349415,1.3491,1.34941,2021-11-18 11:51:00
2021-11-18 11:54:00,1.34941,1.34952,1.3492099999999998,1.3492099999999998,2021-11-18 11:54:00
2021-11-18 11:57:00,1.3492199999999999,1.3492199999999999,1.348875,1.349135,2021-11-18 11:57:00
2021-11-18 12:00:00,1.349125,1.349415,1.34908,1.34941,2021-11-18 12:00:00
2021-11-18 12:03:00,1.34941,1.349605,1.34912,1.34917,2021-11-18 12:03:00
2021-11-18 12:06:00,1.3491300000000002,1.349715,1.3491300000000002,1.34955,2021-11-18 12:06:00
2021-11-18 12:09:00,1.34952,1.34952,1.349195,1.34921,2021-11-18 12:09:00
2021-11-18 12:12:00,1.34928,1.3495,1.34916,1.3495,2021-11-18 12:12:00
2021-11-18 12:15:00,1.34948,1.3495949999999999,1.349345,1.3495499999999998,2021-11-18 12:15:00
2021-11-18 12:18:00,1.3496100000000002,1.350005,1.3495,1.350005,2021-11-18 12:18:00
2021-11-18 12:21:00,1.35005,1.35005,1.34968,1.3498999999999999,2021-11-18 12:21:00
2021-11-18 12:24:00,1.34978,1.3499349999999999,1.34958,1.34968,2021-11-18 12:24:00
2021-11-18 12:27:00,1.34965,1.3498800000000002,1.34965,1.34977,2021-11-18 12:27:00
2021-11-18 12:30:00,1.34978,1.34978,1.34943,1.34958,2021-11-18 12:30:00
2021-11-18 12:33:00,1.34959,1.34959,1.34946,1.34946,2021-11-18 12:33:00
2021-11-18 14:45:00,1.34824,1.3483450000000001,1.348205,1.3483450000000001,2021-11-18 14:45:00
2021-11-18 14:48:00,1.3484099999999999,1.348585,1.348295,1.3483999999999998,2021-11-18 14:48:00
2021-11-18 14:51:00,1.3483450000000001,1.34857,1.348295,1.34835,2021-11-18 14:51:00
2021-11-18 14:54:00,1.348085,1.34814,1.34762,1.3476750000000002,2021-11-18 14:54:00
2021-11-18 14:57:00,1.347715,1.347715,1.347295,1.347295,2021-11-18 14:57:00
2021-11-18 15:06:00,1.3470499999999999,1.347105,1.34681,1.346935,2021-11-18 15:06:00
2021-11-18 15:09:00,1.34701,1.34701,1.3467250000000002,1.3469099999999998,2021-11-18 15:09:00
2021-11-18 15:12:00,1.34699,1.34699,1.346665,1.346805,2021-11-18 15:12:00
2021-11-18 15:15:00,1.34679,1.347565,1.34679,1.34748,2021-11-18 15:15:00
2021-11-18 15:18:00,1.347315,1.34768,1.34728,1.347405,2021-11-18 15:18:00
2021-11-18 15:21:00,1.3474300000000001,1.347775,1.3474,1.34776,2021-11-18 15:21:00
2021-11-18 15:24:00,1.3478750000000002,1.34808,1.347645,1.3477000000000001,2021-11-18 15:24:00
2021-11-18 15:27:00,1.34767,1.347955,1.3473950000000001,1.3479100000000002,2021-11-18 15:27:00
2021-11-18 15:30:00,1.34788,1.34792,1.3472499999999998,1.347515,2021-11-18 15:30:00
2021-11-18 15:33:00,1.34721,1.3473199999999999,1.346715,1.347,2021-11-18 15:33:00
2021-11-18 15:36:00,1.3468200000000001,1.347045,1.3466399999999998,1.3470149999999999,2021-11-18 15:36:00
2021-11-18 15:39:00,1.346915,1.3475899999999998,1.3469099999999998,1.3474599999999999,2021-11-18 15:39:00
2021-11-18 15:42:00,1.34733,1.34733,1.3472300000000001,1.3472300000000001,2021-11-18 15:42:00
2021-11-18 15:45:00,1.34722,1.34744,1.3469449999999998,1.3471250000000001,2021-11-18 15:45:00
2021-11-18 15:48:00,1.34718,1.34722,1.34702,1.34702,2021-11-18 15:48:00
2021-11-18 15:51:00,1.34702,1.34702,1.34668,1.34701,2021-11-18 15:51:00
2021-11-18 15:54:00,1.3470499999999999,1.34721,1.3468900000000001,1.34697,2021-11-18 15:54:00
2021-11-18 15:57:00,1.3469799999999998,1.3474249999999999,1.3469799999999998,1.3472,2021-11-18 15:57:00
2021-11-18 16:00:00,1.3472,1.3472,1.3466399999999998,1.3467,2021-11-18 16:00:00
2021-11-18 16:03:00,1.3468,1.34693,1.34656,1.34693,2021-11-18 16:03:00
2021-11-18 16:06:00,1.34692,1.3472,1.34666,1.347045,2021-11-18 16:06:00
2021-11-18 16:09:00,1.3471000000000002,1.34754,1.3469449999999998,1.3475000000000001,2021-11-18 16:09:00
2021-11-18 16:12:00,1.347295,1.347305,1.34692,1.34704,2021-11-18 16:12:00
2021-11-18 16:15:00,1.347115,1.3473350000000002,1.3470300000000002,1.347305,2021-11-18 16:15:00
2021-11-18 16:18:00,1.3474,1.3477350000000001,1.34735,1.347435,2021-11-18 16:18:00
2021-11-18 16:21:00,1.3474149999999998,1.34851,1.347315,1.3485049999999998,2021-11-18 16:21:00
